Tamaño	Número de elementos	Tiempo promedio	Mínimo OB	Número promedio OB	Máximo OB
1000	100000	0.000000	1	8.987000	10
2000	200000	0.000000	1	9.982000	11
3000	300000	0.000000	1	10.639000	12
4000	400000	0.000000	1	10.979250	12
5000	500000	0.000000	1	11.364400	13
6000	600000	0.000000	1	11.637000	13
7000	700000	0.000000	1	11.831714	13
8000	800000	0.000000	1	11.977750	13
9000	900000	0.000000	1	12.181222	14
10000	1000000	0.000000	1	12.363100	14
11000	1100000	0.000000	1	12.511909	14
12000	1200000	0.000000	1	12.635917	14
13000	1300000	0.000000	1	12.740846	14
14000	1400000	0.000000	1	12.830786	14
15000	1500000	0.000000	1	12.908733	14
16000	1600000	0.000000	1	12.976938	14
17000	1700000	0.000000	1	13.073412	15
18000	1800000	0.000000	1	13.180444	15
19000	1900000	0.000000	1	13.276211	15
20000	2000000	0.000000	1	13.362400	15
