Tamaño	Número de elementos	Tiempo promedio	Mínimo OB	Número promedio OB	Máximo OB
1000	100000	0.000000	1	8.987000	10
1500	150000	0.000000	1	9.642667	11
2000	200000	0.000000	1	9.982000	11
2500	250000	0.000000	1	10.366800	12
3000	300000	0.000000	1	10.639000	12
3500	350000	0.000000	1	10.833429	12
4000	400000	0.000000	1	10.979250	12
4500	450000	0.000000	1	11.182667	13
5000	500000	0.000000	1	11.364400	13
5500	550000	0.000000	1	11.513091	13
6000	600000	0.000000	1	11.637000	13
6500	650000	0.000000	1	11.741846	13
7000	700000	0.000000	1	11.831714	13
7500	750000	0.000000	1	11.909600	13
8000	800000	0.000000	1	11.977750	13
8500	850000	0.000000	1	12.074235	14
9000	900000	0.000000	1	12.181222	14
9500	950000	0.000000	1	12.276947	14
10000	1000000	0.000000	1	12.363100	14
10500	1050000	0.000000	1	12.441048	14
11000	1100000	0.000000	1	12.511909	14
11500	1150000	0.000000	1	12.576609	14
12000	1200000	0.000000	1	12.635917	14
12500	1250000	0.000000	1	12.690480	14
13000	1300000	0.000000	1	12.740846	14
13500	1350000	0.000000	1	12.787481	14
14000	1400000	0.000000	1	12.830786	14
14500	1450000	0.000000	1	12.871103	14
15000	1500000	0.000000	1	12.908733	14
15500	1550000	0.000000	1	12.943935	14
16000	1600000	0.000000	1	12.976938	14
16500	1650000	0.000000	1	13.015030	15
17000	1700000	0.000000	1	13.073412	15
17500	1750000	0.000000	1	13.128457	15
18000	1800000	0.000000	1	13.180444	15
18500	1850000	0.000000	1	13.229622	15
19000	1900000	0.000000	1	13.276211	15
19500	1950000	0.000000	1	13.320410	15
20000	2000000	0.000000	1	13.362400	15
20500	2050000	0.000000	1	13.402341	15
21000	2100000	0.000000	1	13.440381	15
21500	2150000	0.000000	1	13.476651	15
22000	2200000	0.000000	1	13.511273	15
22500	2250000	0.000000	1	13.544356	15
23000	2300000	0.000000	1	13.576000	15
23500	2350000	0.000000	1	13.606298	15
24000	2400000	0.000000	1	13.635333	15
24500	2450000	0.000000	1	13.663184	15
25000	2500000	0.000000	1	13.689920	15
25500	2550000	0.000000	1	13.715608	15
26000	2600000	0.000000	1	13.740308	15
26500	2650000	0.000000	1	13.764075	15
27000	2700000	0.000000	1	13.786963	15
27500	2750000	0.000000	1	13.809018	15
28000	2800000	0.000000	1	13.830286	15
28500	2850000	0.000000	1	13.850807	15
29000	2900000	0.000000	1	13.870621	15
29500	2950000	0.000000	1	13.889763	15
30000	3000000	0.000000	1	13.908267	15
